locus_tag	ftype	length_bp	gene	EC_number	COG	product
EPBGNNHA_00643	gene	903	atpG			
EPBGNNHA_00643	CDS	903	atpG		COG0224	ATP synthase gamma chain
EPBGNNHA_00644	gene	1407	atpD			
EPBGNNHA_00644	CDS	1407	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
EPBGNNHA_00645	gene	423	atpC			
EPBGNNHA_00645	CDS	423	atpC		COG0355	ATP synthase epsilon chain
EPBGNNHA_00646	gene	231				
EPBGNNHA_00646	CDS	231				hypothetical protein
EPBGNNHA_00647	gene	1302	murA1_2			
EPBGNNHA_00647	CDS	1302	murA1_2	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
EPBGNNHA_00648	gene	177				
EPBGNNHA_00648	CDS	177				hypothetical protein
EPBGNNHA_00649	gene	297				
EPBGNNHA_00649	CDS	297			COG0759	Putative membrane protein insertion efficiency factor
EPBGNNHA_00650	gene	468	yvbK			
EPBGNNHA_00650	CDS	468	yvbK	2.3.1.-		putative N-acetyltransferase YvbK
EPBGNNHA_00651	gene	885	bglK			
EPBGNNHA_00651	CDS	885	bglK	2.7.1.85	COG1940	Beta-glucoside kinase
EPBGNNHA_00652	gene	237				
EPBGNNHA_00652	CDS	237				hypothetical protein
EPBGNNHA_00653	gene	81				
EPBGNNHA_00653	tRNA	81				tRNA-Tyr(gta)
EPBGNNHA_00654	gene	74				
EPBGNNHA_00654	tRNA	74				tRNA-Gln(ttg)
EPBGNNHA_00655	gene	171				
EPBGNNHA_00655	CDS	171				hypothetical protein
EPBGNNHA_00656	gene	708	nagR_1			
EPBGNNHA_00656	CDS	708	nagR_1		COG2188	HTH-type transcriptional repressor NagR
EPBGNNHA_00657	gene	645	yigZ			
EPBGNNHA_00657	CDS	645	yigZ		COG1739	IMPACT family member YigZ
EPBGNNHA_00658	gene	288				
EPBGNNHA_00658	CDS	288				hypothetical protein
EPBGNNHA_00659	gene	321	ptcB_2			
EPBGNNHA_00659	CDS	321	ptcB_2	2.7.1.204	COG1440	PTS system galactose-specific EIIB component
EPBGNNHA_00660	gene	1314	comFA			
EPBGNNHA_00660	CDS	1314	comFA	3.6.4.12	COG4098	ComF operon protein 1
EPBGNNHA_00661	gene	720				
EPBGNNHA_00661	CDS	720				hypothetical protein
EPBGNNHA_00662	gene	552	hpf			
EPBGNNHA_00662	CDS	552	hpf			Ribosome hibernation promotion factor
EPBGNNHA_00663	gene	2535	secA			
EPBGNNHA_00663	CDS	2535	secA		COG0653	Protein translocase subunit SecA
EPBGNNHA_00664	gene	984	prfB			
EPBGNNHA_00664	CDS	984	prfB			Peptide chain release factor 2
EPBGNNHA_00665	gene	687	ftsE			
EPBGNNHA_00665	CDS	687	ftsE		COG2884	Cell division ATP-binding protein FtsE
EPBGNNHA_00666	gene	894	ftsX			
EPBGNNHA_00666	CDS	894	ftsX		COG2177	Cell division protein FtsX
EPBGNNHA_00667	gene	1449	clsA_1			
EPBGNNHA_00667	CDS	1449	clsA_1	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
EPBGNNHA_00668	gene	858	pstS1_1			
EPBGNNHA_00668	CDS	858	pstS1_1		COG0226	Phosphate-binding protein PstS 1
EPBGNNHA_00669	gene	921				
EPBGNNHA_00669	CDS	921				hypothetical protein
EPBGNNHA_00670	gene	885				
EPBGNNHA_00670	CDS	885				hypothetical protein
EPBGNNHA_00671	gene	807	pstB3_1			
EPBGNNHA_00671	CDS	807	pstB3_1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
EPBGNNHA_00672	gene	759	pstB3_2			
EPBGNNHA_00672	CDS	759	pstB3_2	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
EPBGNNHA_00673	gene	678	phoU			
EPBGNNHA_00673	CDS	678	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
EPBGNNHA_00674	gene	1032				
EPBGNNHA_00674	CDS	1032				hypothetical protein
EPBGNNHA_00675	gene	768				
EPBGNNHA_00675	CDS	768				hypothetical protein
EPBGNNHA_00676	gene	1569				
EPBGNNHA_00676	CDS	1569				hypothetical protein
EPBGNNHA_00677	gene	321				
EPBGNNHA_00677	CDS	321				hypothetical protein
EPBGNNHA_00678	gene	351				
EPBGNNHA_00678	CDS	351				hypothetical protein
EPBGNNHA_00679	gene	1296				
EPBGNNHA_00679	CDS	1296				ISL3 family transposase ISEfa5
EPBGNNHA_00680	gene	939	hprK			
EPBGNNHA_00680	CDS	939	hprK	2.7.11.-	COG1493	HPr kinase/phosphorylase
EPBGNNHA_00681	gene	831	lgt			
EPBGNNHA_00681	CDS	831	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
EPBGNNHA_00682	gene	1026	gpsA_2			
EPBGNNHA_00682	CDS	1026	gpsA_2	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
EPBGNNHA_00683	gene	939	gtaB_2			
EPBGNNHA_00683	CDS	939	gtaB_2	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
EPBGNNHA_00684	gene	441				
EPBGNNHA_00684	CDS	441				hypothetical protein
EPBGNNHA_00685	gene	603				
EPBGNNHA_00685	CDS	603				hypothetical protein
EPBGNNHA_00686	gene	1107	pepQ			
EPBGNNHA_00686	CDS	1107	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
EPBGNNHA_00687	gene	1002	ccpA_1			
EPBGNNHA_00687	CDS	1002	ccpA_1		COG1609	Catabolite control protein A
EPBGNNHA_00688	gene	2346	ponA_1			
EPBGNNHA_00688	CDS	2346	ponA_1		COG0744	Penicillin-binding protein 1A/1B
EPBGNNHA_00689	gene	903	nfo			
EPBGNNHA_00689	CDS	903	nfo	3.1.21.2	COG0648	putative endonuclease 4
EPBGNNHA_00690	gene	1188				
EPBGNNHA_00690	CDS	1188				IS110 family transposase ISBth13
EPBGNNHA_00691	gene	1776				
EPBGNNHA_00691	CDS	1776				hypothetical protein
EPBGNNHA_00692	gene	1587	mntH			
EPBGNNHA_00692	CDS	1587	mntH			Divalent metal cation transporter MntH
EPBGNNHA_00693	gene	225				
EPBGNNHA_00693	CDS	225				hypothetical protein
EPBGNNHA_00694	gene	1752	yheI			
EPBGNNHA_00694	CDS	1752	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
EPBGNNHA_00695	gene	1785	yheH			
EPBGNNHA_00695	CDS	1785	yheH	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheH
EPBGNNHA_00696	gene	852	licT_2			
EPBGNNHA_00696	CDS	852	licT_2		COG3711	Transcription antiterminator LicT
EPBGNNHA_00697	gene	1887	bglF_2			
EPBGNNHA_00697	CDS	1887	bglF_2		COG1263	PTS system beta-glucoside-specific EIIBCA component
EPBGNNHA_00698	gene	903	murR_1			
EPBGNNHA_00698	CDS	903	murR_1			HTH-type transcriptional regulator MurR
EPBGNNHA_00699	gene	1404	licH			
EPBGNNHA_00699	CDS	1404	licH	3.2.1.86	COG1486	putative 6-phospho-beta-glucosidase
EPBGNNHA_00700	gene	1434	bglH_2			
EPBGNNHA_00700	CDS	1434	bglH_2	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
EPBGNNHA_00701	gene	927	trxB			
EPBGNNHA_00701	CDS	927	trxB	1.8.1.9	COG0492	Thioredoxin reductase
EPBGNNHA_00702	gene	1728	pgcA			
EPBGNNHA_00702	CDS	1728	pgcA	5.4.2.2		Phosphoglucomutase
EPBGNNHA_00703	gene	294	czrA			
EPBGNNHA_00703	CDS	294	czrA		COG0640	HTH-type transcriptional repressor CzrA
EPBGNNHA_00704	gene	861	yqfL			
EPBGNNHA_00704	CDS	861	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
EPBGNNHA_00705	gene	429	zur			
EPBGNNHA_00705	CDS	429	zur		COG0735	Zinc-specific metallo-regulatory protein
EPBGNNHA_00706	gene	177	rpsU			
EPBGNNHA_00706	CDS	177	rpsU		COG0828	30S ribosomal protein S21
EPBGNNHA_00707	gene	447	yqeY			
EPBGNNHA_00707	CDS	447	yqeY		COG1610	putative protein YqeY
EPBGNNHA_00708	gene	1380	brnQ_1			
EPBGNNHA_00708	CDS	1380	brnQ_1		COG1114	Branched-chain amino acid transport system 2 carrier protein
EPBGNNHA_00709	gene	972				
EPBGNNHA_00709	CDS	972			COG1702	PhoH-like protein
EPBGNNHA_00710	gene	2193	pgpH			
EPBGNNHA_00710	CDS	2193	pgpH	3.1.4.59		Cyclic-di-AMP phosphodiesterase PgpH
EPBGNNHA_00711	gene	462	ybeY			
EPBGNNHA_00711	CDS	462	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
EPBGNNHA_00712	gene	396	dgkA			
EPBGNNHA_00712	CDS	396	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
EPBGNNHA_00713	gene	900	era			
EPBGNNHA_00713	CDS	900	era		COG1159	GTPase Era
EPBGNNHA_00714	gene	813	recO			
EPBGNNHA_00714	CDS	813	recO		COG1381	DNA repair protein RecO
EPBGNNHA_00715	gene	918	glyQ			
EPBGNNHA_00715	CDS	918	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
EPBGNNHA_00716	gene	2076	glyS			
EPBGNNHA_00716	CDS	2076	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
EPBGNNHA_00717	gene	780				
EPBGNNHA_00717	CDS	780				hypothetical protein
EPBGNNHA_00718	gene	945	tagU_1			
EPBGNNHA_00718	CDS	945	tagU_1	2.7.8.-	COG1316	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
EPBGNNHA_00719	gene	780	ywqC			
EPBGNNHA_00719	CDS	780	ywqC		COG3944	putative capsular polysaccharide biosynthesis protein YwqC
EPBGNNHA_00720	gene	699	ywqD			
EPBGNNHA_00720	CDS	699	ywqD	2.7.10.2	COG0489	Tyrosine-protein kinase YwqD
EPBGNNHA_00721	gene	765	ywqE			
EPBGNNHA_00721	CDS	765	ywqE	3.1.3.48	COG4464	Tyrosine-protein phosphatase YwqE
EPBGNNHA_00722	gene	1818	pglF			
EPBGNNHA_00722	CDS	1818	pglF	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
EPBGNNHA_00723	gene	966				
EPBGNNHA_00723	CDS	966				hypothetical protein
EPBGNNHA_00724	gene	696	gph_1			
EPBGNNHA_00724	CDS	696	gph_1	3.1.3.18		Phosphoglycolate phosphatase
EPBGNNHA_00725	gene	1119	epsN			
EPBGNNHA_00725	CDS	1119	epsN	2.6.1.-	COG0399	Putative pyridoxal phosphate-dependent aminotransferase EpsN
EPBGNNHA_00726	gene	621	epsL			
EPBGNNHA_00726	CDS	621	epsL	2.-.-.-	COG2148	putative sugar transferase EpsL
EPBGNNHA_00727	gene	1101	pglA			
EPBGNNHA_00727	CDS	1101	pglA	2.4.1.290		N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase
EPBGNNHA_00728	gene	273	mshA			
EPBGNNHA_00728	CDS	273	mshA	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
EPBGNNHA_00729	gene	1002				
EPBGNNHA_00729	CDS	1002				hypothetical protein
EPBGNNHA_00730	gene	1047				
EPBGNNHA_00730	CDS	1047				hypothetical protein
EPBGNNHA_00731	gene	1080	pglH_1			
EPBGNNHA_00731	CDS	1080	pglH_1	2.4.1.292	COG0438	GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase
EPBGNNHA_00732	gene	1425				
EPBGNNHA_00732	CDS	1425				hypothetical protein
EPBGNNHA_00733	gene	1506				
EPBGNNHA_00733	CDS	1506				hypothetical protein
EPBGNNHA_00734	gene	1173				
EPBGNNHA_00734	CDS	1173				IS256 family transposase IS256
EPBGNNHA_00735	gene	1092	wbgU_1			
EPBGNNHA_00735	CDS	1092	wbgU_1	5.1.3.7		UDP-N-acetylglucosamine 4-epimerase
EPBGNNHA_00736	gene	1479	ugd			
EPBGNNHA_00736	CDS	1479	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
EPBGNNHA_00737	gene	750	glvR			
EPBGNNHA_00737	CDS	750	glvR		COG1737	HTH-type transcriptional regulator GlvR
EPBGNNHA_00738	gene	951	pfkB			
EPBGNNHA_00738	CDS	951	pfkB	2.7.1.11	COG1105	ATP-dependent 6-phosphofructokinase isozyme 2
EPBGNNHA_00739	gene	1464	fruA_4			
EPBGNNHA_00739	CDS	1464	fruA_4		COG1299	PTS system fructose-specific EIIABC component
EPBGNNHA_00740	gene	459	mngA			
EPBGNNHA_00740	CDS	459	mngA		COG1299	PTS system 2-O-alpha-mannosyl-D-glycerate-specific EIIABC component
EPBGNNHA_00741	gene	975	lacD2			
EPBGNNHA_00741	CDS	975	lacD2	4.1.2.40	COG3684	Tagatose 1,6-diphosphate aldolase 2
EPBGNNHA_00742	gene	951	yidC			
EPBGNNHA_00742	CDS	951	yidC			Membrane protein insertase YidC
EPBGNNHA_00743	gene	276	acyP			
EPBGNNHA_00743	CDS	276	acyP	3.6.1.7	COG1254	Acylphosphatase
EPBGNNHA_00744	gene	765				
EPBGNNHA_00744	CDS	765		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
EPBGNNHA_00745	gene	504				
EPBGNNHA_00745	CDS	504				hypothetical protein
EPBGNNHA_00746	gene	642				
EPBGNNHA_00746	CDS	642				hypothetical protein
EPBGNNHA_00747	gene	1269	eriC			
EPBGNNHA_00747	CDS	1269	eriC		COG0038	Chloride/fluoride channel protein
EPBGNNHA_00748	gene	1200				
EPBGNNHA_00748	CDS	1200				hypothetical protein
EPBGNNHA_00749	gene	1308	dacA			
EPBGNNHA_00749	CDS	1308	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
EPBGNNHA_00750	gene	123				
EPBGNNHA_00750	CDS	123				hypothetical protein
EPBGNNHA_00751	gene	1119				
EPBGNNHA_00751	CDS	1119				hypothetical protein
EPBGNNHA_00752	gene	321				
EPBGNNHA_00752	CDS	321				hypothetical protein
EPBGNNHA_00753	gene	165				
EPBGNNHA_00753	CDS	165				hypothetical protein
EPBGNNHA_00754	gene	201	cspLA_2			
EPBGNNHA_00754	CDS	201	cspLA_2		COG1278	Cold shock-like protein CspLA
EPBGNNHA_00755	gene	2790	dinG_1			
EPBGNNHA_00755	CDS	2790	dinG_1	3.1.-.-		3'-5' exonuclease DinG
EPBGNNHA_00756	gene	504				
EPBGNNHA_00756	CDS	504				hypothetical protein
EPBGNNHA_00757	gene	1191	aspB			
EPBGNNHA_00757	CDS	1191	aspB	2.6.1.14	COG0436	Asparagine--oxo-acid transaminase
EPBGNNHA_00758	gene	1299	asnS			
EPBGNNHA_00758	CDS	1299	asnS	6.1.1.22		Asparagine--tRNA ligase
EPBGNNHA_00759	gene	675	axe2			
EPBGNNHA_00759	CDS	675	axe2	3.1.1.72		Acetylxylan esterase
EPBGNNHA_00760	gene	342				
EPBGNNHA_00760	CDS	342				hypothetical protein
EPBGNNHA_00761	gene	360	yccF			
EPBGNNHA_00761	CDS	360	yccF		COG3304	Inner membrane protein YccF
EPBGNNHA_00762	gene	2085	cadA			
EPBGNNHA_00762	CDS	2085	cadA	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
EPBGNNHA_00763	gene	1467	ycaM			
EPBGNNHA_00763	CDS	1467	ycaM		COG0531	Inner membrane transporter YcaM
EPBGNNHA_00764	gene	1296				
EPBGNNHA_00764	CDS	1296				ISL3 family transposase ISEfa5
EPBGNNHA_00765	gene	540				
EPBGNNHA_00765	CDS	540				hypothetical protein
EPBGNNHA_00766	gene	441	copY			
EPBGNNHA_00766	CDS	441	copY			Transcriptional repressor CopY
EPBGNNHA_00767	gene	210	copZ			
EPBGNNHA_00767	CDS	210	copZ			Copper chaperone CopZ
EPBGNNHA_00768	gene	2187	copA			
EPBGNNHA_00768	CDS	2187	copA	7.2.2.8		putative copper-importing P-type ATPase A
EPBGNNHA_00769	gene	2172	copB			
EPBGNNHA_00769	CDS	2172	copB	7.2.2.8		Copper-exporting P-type ATPase B
EPBGNNHA_00770	gene	741				
EPBGNNHA_00770	CDS	741				hypothetical protein
EPBGNNHA_00771	gene	1299				
EPBGNNHA_00771	CDS	1299				hypothetical protein
EPBGNNHA_00772	gene	753				
EPBGNNHA_00772	CDS	753				hypothetical protein
EPBGNNHA_00773	gene	324				
EPBGNNHA_00773	CDS	324				hypothetical protein
EPBGNNHA_00774	gene	849				
EPBGNNHA_00774	CDS	849				hypothetical protein
EPBGNNHA_00775	gene	813				
EPBGNNHA_00775	CDS	813				hypothetical protein
EPBGNNHA_00776	gene	324				
EPBGNNHA_00776	CDS	324				hypothetical protein
EPBGNNHA_00777	gene	570				
EPBGNNHA_00777	CDS	570				hypothetical protein
EPBGNNHA_00778	gene	693				
EPBGNNHA_00778	CDS	693				hypothetical protein
EPBGNNHA_00779	gene	807				
EPBGNNHA_00779	CDS	807				IS3 family transposase ISEnfa3
EPBGNNHA_00780	gene	537				
EPBGNNHA_00780	CDS	537				hypothetical protein
EPBGNNHA_00781	gene	1179				
EPBGNNHA_00781	CDS	1179				IS256 family transposase ISEf1
EPBGNNHA_00782	gene	537				
EPBGNNHA_00782	CDS	537				hypothetical protein
EPBGNNHA_00783	gene	807				
EPBGNNHA_00783	CDS	807				IS3 family transposase ISEnfa3
EPBGNNHA_00784	gene	417				
EPBGNNHA_00784	CDS	417				hypothetical protein
EPBGNNHA_00785	gene	258				
EPBGNNHA_00785	CDS	258				hypothetical protein
EPBGNNHA_00786	gene	1251				
EPBGNNHA_00786	CDS	1251				IS110 family transposase ISSpn10
EPBGNNHA_00787	gene	975	cbh_1			
EPBGNNHA_00787	CDS	975	cbh_1	3.5.1.24		Choloylglycine hydrolase
EPBGNNHA_00788	gene	1296				
EPBGNNHA_00788	CDS	1296				ISL3 family transposase ISEfa5
EPBGNNHA_00789	gene	1188				
EPBGNNHA_00789	CDS	1188				IS256 family transposase IS16
EPBGNNHA_00790	gene	318				
EPBGNNHA_00790	CDS	318				hypothetical protein
EPBGNNHA_00791	gene	366				
EPBGNNHA_00791	CDS	366				hypothetical protein
EPBGNNHA_00792	gene	483				
EPBGNNHA_00792	CDS	483				hypothetical protein
EPBGNNHA_00793	gene	891	pstS1_2			
EPBGNNHA_00793	CDS	891	pstS1_2		COG0226	Phosphate-binding protein PstS 1
EPBGNNHA_00794	gene	1296				
EPBGNNHA_00794	CDS	1296				ISL3 family transposase IS1251
EPBGNNHA_00795	gene	1269				
EPBGNNHA_00795	CDS	1269				ISL3 family transposase IS1476
EPBGNNHA_00796	gene	2472	ctpE_1			
EPBGNNHA_00796	CDS	2472	ctpE_1	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
EPBGNNHA_00797	gene	1737	phoR_1			
EPBGNNHA_00797	CDS	1737	phoR_1	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
EPBGNNHA_00798	gene	705	phoP			
EPBGNNHA_00798	CDS	705	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
EPBGNNHA_00799	gene	417				
EPBGNNHA_00799	CDS	417				hypothetical protein
EPBGNNHA_00800	gene	339				
EPBGNNHA_00800	CDS	339				hypothetical protein
EPBGNNHA_00801	gene	1419	ffh			
EPBGNNHA_00801	CDS	1419	ffh		COG0541	Signal recognition particle protein
EPBGNNHA_00802	gene	579	tag			
EPBGNNHA_00802	CDS	579	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
EPBGNNHA_00803	gene	522				
EPBGNNHA_00803	CDS	522				IS1595 family transposase ISCac2
EPBGNNHA_00804	gene	555	chrR			
EPBGNNHA_00804	CDS	555	chrR	1.6.5.2	COG0431	Quinone reductase
EPBGNNHA_00805	gene	276	rpsP			
EPBGNNHA_00805	CDS	276	rpsP		COG0228	30S ribosomal protein S16
EPBGNNHA_00806	gene	252				
EPBGNNHA_00806	CDS	252				hypothetical protein
EPBGNNHA_00807	gene	792				
EPBGNNHA_00807	CDS	792				hypothetical protein
EPBGNNHA_00808	gene	522	rimM			
EPBGNNHA_00808	CDS	522	rimM			Ribosome maturation factor RimM
EPBGNNHA_00809	gene	762	trmD			
EPBGNNHA_00809	CDS	762	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
EPBGNNHA_00810	gene	348	rplS			
EPBGNNHA_00810	CDS	348	rplS		COG0335	50S ribosomal protein L19
EPBGNNHA_00811	gene	663				
EPBGNNHA_00811	CDS	663				hypothetical protein
EPBGNNHA_00812	gene	3228				
EPBGNNHA_00812	CDS	3228				hypothetical protein
EPBGNNHA_00813	gene	315				
EPBGNNHA_00813	CDS	315				hypothetical protein
EPBGNNHA_00814	gene	375				
EPBGNNHA_00814	CDS	375				hypothetical protein
EPBGNNHA_00815	gene	345				
EPBGNNHA_00815	CDS	345				hypothetical protein
EPBGNNHA_00816	gene	1146				
EPBGNNHA_00816	CDS	1146				hypothetical protein
EPBGNNHA_00817	gene	1860				
EPBGNNHA_00817	CDS	1860				hypothetical protein
EPBGNNHA_00818	gene	252				
EPBGNNHA_00818	CDS	252				hypothetical protein
EPBGNNHA_00819	gene	435				
EPBGNNHA_00819	CDS	435				IS1595 family transposase ISCco3
EPBGNNHA_00820	gene	708				
EPBGNNHA_00820	CDS	708				hypothetical protein
EPBGNNHA_00821	gene	255				
EPBGNNHA_00821	CDS	255				hypothetical protein
EPBGNNHA_00822	gene	1185				
EPBGNNHA_00822	CDS	1185				hypothetical protein
EPBGNNHA_00823	gene	138				
EPBGNNHA_00823	CDS	138				hypothetical protein
EPBGNNHA_00824	gene	1911				
EPBGNNHA_00824	CDS	1911				hypothetical protein
EPBGNNHA_00825	gene	501				
EPBGNNHA_00825	CDS	501				hypothetical protein
EPBGNNHA_00826	gene	1848				
EPBGNNHA_00826	CDS	1848				hypothetical protein
EPBGNNHA_00827	gene	897				
EPBGNNHA_00827	CDS	897				hypothetical protein
EPBGNNHA_00828	gene	390				
EPBGNNHA_00828	CDS	390				hypothetical protein
EPBGNNHA_00829	gene	2346				
EPBGNNHA_00829	CDS	2346				hypothetical protein
EPBGNNHA_00830	gene	1188				
EPBGNNHA_00830	CDS	1188				IS256 family transposase IS16
EPBGNNHA_00831	gene	2130				
EPBGNNHA_00831	CDS	2130				hypothetical protein
EPBGNNHA_00832	gene	1008				
EPBGNNHA_00832	CDS	1008				hypothetical protein
EPBGNNHA_00833	gene	912				
EPBGNNHA_00833	CDS	912				hypothetical protein
EPBGNNHA_00834	gene	729				
EPBGNNHA_00834	CDS	729				IS21 family transposase ISCth15
EPBGNNHA_00835	gene	1419				
EPBGNNHA_00835	CDS	1419				hypothetical protein
EPBGNNHA_00836	gene	1122				
EPBGNNHA_00836	CDS	1122			COG3385	IS4 family transposase IS4Bsu1
EPBGNNHA_00837	gene	954				
EPBGNNHA_00837	CDS	954			COG2826	IS30 family transposase IS1252
EPBGNNHA_00838	gene	480				
EPBGNNHA_00838	CDS	480				hypothetical protein
EPBGNNHA_00839	gene	291				
EPBGNNHA_00839	CDS	291				IS3 family transposase ISEfa8
EPBGNNHA_00840	gene	837				
EPBGNNHA_00840	CDS	837				IS3 family transposase ISEfa8
EPBGNNHA_00841	gene	981	degA_1			
EPBGNNHA_00841	CDS	981	degA_1		COG1609	HTH-type transcriptional regulator DegA
EPBGNNHA_00842	gene	1419	bfrA			
EPBGNNHA_00842	CDS	1419	bfrA	3.2.1.26	COG1621	Beta-fructosidase
EPBGNNHA_00843	gene	1470	treP_1			
EPBGNNHA_00843	CDS	1470	treP_1		COG1263	PTS system trehalose-specific EIIBC component
EPBGNNHA_00844	gene	468				
EPBGNNHA_00844	CDS	468				hypothetical protein
EPBGNNHA_00845	gene	873	gmuE_2			
EPBGNNHA_00845	CDS	873	gmuE_2	2.7.1.4	COG1940	Putative fructokinase
EPBGNNHA_00846	gene	2535	dgaR_5			
EPBGNNHA_00846	CDS	2535	dgaR_5			Transcriptional regulatory protein DagR
EPBGNNHA_00847	gene	774	sorC			
EPBGNNHA_00847	CDS	774	sorC		COG3715	PTS system sorbose-specific EIIC component
EPBGNNHA_00848	gene	792	manZ_4			
EPBGNNHA_00848	CDS	792	manZ_4		COG3716	PTS system mannose-specific EIID component
EPBGNNHA_00849	gene	492	manX_4			
EPBGNNHA_00849	CDS	492	manX_4	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
EPBGNNHA_00850	gene	411				
EPBGNNHA_00850	CDS	411				hypothetical protein
EPBGNNHA_00851	gene	1401				
EPBGNNHA_00851	CDS	1401				hypothetical protein
EPBGNNHA_00852	gene	375				
EPBGNNHA_00852	CDS	375				hypothetical protein
EPBGNNHA_00853	gene	195				
EPBGNNHA_00853	CDS	195				hypothetical protein
EPBGNNHA_00854	gene	354				
EPBGNNHA_00854	CDS	354				hypothetical protein
EPBGNNHA_00855	gene	1548				
EPBGNNHA_00855	CDS	1548				IS66 family transposase ISRob1
EPBGNNHA_00856	gene	429				
EPBGNNHA_00856	CDS	429				hypothetical protein
EPBGNNHA_00857	gene	252				
EPBGNNHA_00857	CDS	252				hypothetical protein
EPBGNNHA_00858	gene	216				
EPBGNNHA_00858	CDS	216				hypothetical protein
EPBGNNHA_00859	gene	309				
EPBGNNHA_00859	CDS	309				hypothetical protein
EPBGNNHA_00860	gene	1179	xerC_5			
EPBGNNHA_00860	CDS	1179	xerC_5			Tyrosine recombinase XerC
EPBGNNHA_00861	gene	294				
EPBGNNHA_00861	CDS	294				hypothetical protein
EPBGNNHA_00862	gene	2322				
EPBGNNHA_00862	CDS	2322				hypothetical protein
EPBGNNHA_00863	gene	459				
EPBGNNHA_00863	CDS	459				hypothetical protein
EPBGNNHA_00864	gene	1014				
EPBGNNHA_00864	CDS	1014				hypothetical protein
EPBGNNHA_00865	gene	447				
EPBGNNHA_00865	CDS	447				hypothetical protein
EPBGNNHA_00866	gene	816				
EPBGNNHA_00866	CDS	816				hypothetical protein
EPBGNNHA_00867	gene	1173				
EPBGNNHA_00867	CDS	1173				hypothetical protein
EPBGNNHA_00868	gene	198				
EPBGNNHA_00868	CDS	198				hypothetical protein
EPBGNNHA_00869	gene	495				
EPBGNNHA_00869	CDS	495				hypothetical protein
EPBGNNHA_00870	gene	423				
EPBGNNHA_00870	CDS	423				hypothetical protein
EPBGNNHA_00871	gene	1194	yjhB			
EPBGNNHA_00871	CDS	1194	yjhB			Putative metabolite transport protein YjhB
EPBGNNHA_00872	gene	378	adhR			
EPBGNNHA_00872	CDS	378	adhR		COG0789	HTH-type transcriptional regulator AdhR
EPBGNNHA_00873	gene	306	hdfR_1			
EPBGNNHA_00873	CDS	306	hdfR_1			HTH-type transcriptional regulator HdfR
EPBGNNHA_00874	gene	444				
EPBGNNHA_00874	CDS	444				hypothetical protein
EPBGNNHA_00875	gene	1296				
EPBGNNHA_00875	CDS	1296				ISL3 family transposase ISEfa11
EPBGNNHA_00876	gene	816	araQ_3			
EPBGNNHA_00876	CDS	816	araQ_3		COG0395	L-arabinose transport system permease protein AraQ
EPBGNNHA_00877	gene	216				
EPBGNNHA_00877	CDS	216				hypothetical protein
EPBGNNHA_00878	gene	1179				
EPBGNNHA_00878	CDS	1179				IS256 family transposase ISEf1
EPBGNNHA_00879	gene	1665	alsS			
EPBGNNHA_00879	CDS	1665	alsS	2.2.1.6	COG0028	Acetolactate synthase
EPBGNNHA_00880	gene	711	aldC			
